Cancer_Type,Lineage,Cell_Lines,Combination_Size,Target_Position,Target_Gene,Clinical_Stage,Available_Drugs,Known_Toxicities,Full_Combination,Path_Coverage,Cost_Score
Hepatoblastoma,Liver,3,3,3,MEK1,unknown,,,MAPK1 + MCL1 + MEK1,83.3%,1.00
"Head and Neck Carcinoma, Other",Head and Neck,3,3,1,CDK6,approved,palbociclib; ribociclib; abemaciclib,neutropenia,CDK6 + ERBB2 + YAP1,83.3%,2.80
"Head and Neck Carcinoma, Other",Head and Neck,3,3,2,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,CDK6 + ERBB2 + YAP1,83.3%,2.80
"Head and Neck Carcinoma, Other",Head and Neck,3,3,3,YAP1,unknown,,,CDK6 + ERBB2 + YAP1,83.3%,2.80
Fibrosarcoma,Soft Tissue,3,3,1,ERBB2,approved,trastuzumab; pertuzumab; lapatinib; tucatinib,cardiotoxicity,ERBB2 + MAPK1 + MET,80.4%,2.54
Fibrosarcoma,Soft Tissue,3,3,2,MAPK1,unknown,,,ERBB2 + MAPK1 + MET,80.4%,2.54
Fibrosarcoma,Soft Tissue,3,3,3,MET,approved,capmatinib; tepotinib; crizotinib; cabozantinib,edema; nausea,ERBB2 + MAPK1 + MET,80.4%,2.54
Gestational Trophoblastic Disease,Uterus,3,3,1,CCND1,unknown,,,CCND1 + MCL1 + YAP1,83.3%,2.70
Gestational Trophoblastic Disease,Uterus,3,3,2,MCL1,phase1,AMG-176; S64315,cardiotoxicity,CCND1 + MCL1 + YAP1,83.3%,2.70
Gestational Trophoblastic Disease,Uterus,3,3,3,YAP1,unknown,,,CCND1 + MCL1 + YAP1,83.3%,2.70
